EnglishDate,NepaliDate,Max,Min,Wind,Rain,Humidity,Cloud,Pressure
25/06/2022,11/3/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
25/06/2023,10/3/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
26/06/2009,12/3/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
26/06/2010,12/3/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
26/06/2011,12/3/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
26/06/2012,12/3/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
26/06/2013,12/3/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
26/06/2014,12/3/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
26/06/2015,11/3/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
26/06/2016,12/3/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
26/06/2017,12/3/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
26/06/2018,12/3/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
26/06/2019,11/3/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
26/06/2020,12/3/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
26/06/2021,12/3/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
26/06/2022,12/3/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
26/06/2023,11/3/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
27/06/2009,13/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
27/06/2010,13/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
27/06/2011,13/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
27/06/2012,13/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
27/06/2013,13/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
27/06/2014,13/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
27/06/2015,12/3/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
27/06/2016,13/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
27/06/2017,13/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
27/06/2018,13/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
27/06/2019,12/3/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
27/06/2020,13/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
27/06/2021,13/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
27/06/2022,13/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
27/06/2023,12/3/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
28/06/2009,14/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
28/06/2010,14/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
28/06/2011,14/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
28/06/2012,14/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
28/06/2013,14/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
28/06/2014,14/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
28/06/2015,13/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
28/06/2016,14/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
28/06/2017,14/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
28/06/2018,14/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
28/06/2019,13/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
28/06/2020,14/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
28/06/2021,14/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
28/06/2022,14/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
28/06/2023,13/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
29/06/2009,15/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
29/06/2010,15/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
29/06/2011,15/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
29/06/2012,15/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
29/06/2013,15/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
29/06/2014,15/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
29/06/2015,14/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
29/06/2016,15/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
29/06/2017,15/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
29/06/2018,15/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
29/06/2019,14/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
29/06/2020,15/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
29/06/2021,15/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
29/06/2022,15/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
29/06/2023,14/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
1/7/2009,17/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
1/7/2010,17/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
1/7/2011,17/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
1/7/2012,17/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
1/7/2013,17/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
1/7/2014,17/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
1/7/2015,16/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
1/7/2016,17/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
1/7/2017,17/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
1/7/2018,17/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
1/7/2019,16/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
1/7/2020,17/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
1/7/2021,17/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
1/7/2022,17/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
1/7/2023,16/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2/7/2009,18/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2/7/2010,18/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2/7/2011,18/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2/7/2012,18/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2/7/2013,18/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2/7/2014,18/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2/7/2015,17/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2/7/2016,18/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2/7/2017,18/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2/7/2018,18/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2/7/2019,17/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2/7/2020,18/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2/7/2021,18/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2/7/2022,18/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2/7/2023,17/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
3/7/2009,19/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
3/7/2010,19/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
3/7/2011,19/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
3/7/2012,19/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
3/7/2013,19/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
3/7/2014,19/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
3/7/2015,18/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
3/7/2016,19/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
3/7/2017,19/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
3/7/2018,19/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
3/7/2019,18/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
3/7/2020,19/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
3/7/2021,19/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
3/7/2022,19/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
3/7/2023,18/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
4/7/2009,20/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
4/7/2010,20/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
4/7/2011,20/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
4/7/2012,20/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
4/7/2013,20/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
4/7/2014,20/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
4/7/2015,19/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
4/7/2016,20/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
4/7/2017,20/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
4/7/2018,20/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
4/7/2019,19/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
4/7/2020,20/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
4/7/2021,20/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
4/7/2022,20/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
4/7/2023,19/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
5/7/2009,21/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
5/7/2010,21/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
5/7/2011,21/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
5/7/2012,21/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
5/7/2013,21/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
5/7/2014,21/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
5/7/2015,20/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
5/7/2016,21/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
5/7/2017,21/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
5/7/2018,21/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
5/7/2019,20/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
5/7/2020,21/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
5/7/2021,21/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
5/7/2022,21/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
5/7/2023,20/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
6/7/2009,22/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
6/7/2010,22/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
6/7/2011,22/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
6/7/2012,22/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
6/7/2013,22/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
6/7/2014,22/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
6/7/2015,21/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
6/7/2016,22/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
6/7/2017,22/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
6/7/2018,22/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
6/7/2019,21/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
6/7/2020,22/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
6/7/2021,22/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
6/7/2022,22/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
6/7/2023,21/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
7/7/2009,23/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
7/7/2010,23/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
7/7/2011,23/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
7/7/2012,23/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
7/7/2013,23/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
7/7/2014,23/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
7/7/2015,22/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
7/7/2016,23/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
7/7/2017,23/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
7/7/2018,23/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
7/7/2019,22/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
7/7/2020,23/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
7/7/2021,23/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
7/7/2022,23/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
7/7/2023,22/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
8/7/2009,24/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
8/7/2010,24/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
8/7/2011,24/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
8/7/2012,24/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
8/7/2013,24/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
8/7/2014,24/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
8/7/2015,23/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
8/7/2016,24/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
8/7/2017,24/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
8/7/2018,24/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
8/7/2019,23/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
8/7/2020,24/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
8/7/2021,24/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
8/7/2022,24/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
8/7/2023,23/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
9/7/2009,25/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
9/7/2010,25/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
9/7/2011,25/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
9/7/2012,25/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
9/7/2013,25/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
9/7/2014,25/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
9/7/2015,24/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
9/7/2016,25/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
9/7/2017,25/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
9/7/2018,25/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
9/7/2019,24/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
9/7/2020,25/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
9/7/2021,25/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
9/7/2022,25/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
9/7/2023,24/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
10/7/2009,26/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
10/7/2010,26/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
10/7/2011,26/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
10/7/2012,26/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
10/7/2013,26/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
10/7/2014,26/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
10/7/2015,25/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
10/7/2016,26/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
10/7/2017,26/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
10/7/2018,26/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
10/7/2019,25/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
10/7/2020,26/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
10/7/2021,26/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
10/7/2022,26/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
10/7/2023,25/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
11/7/2009,27/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
11/7/2010,27/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
11/7/2011,27/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
11/7/2012,27/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
11/7/2013,27/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
11/7/2014,27/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
11/7/2015,26/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
11/7/2016,27/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
11/7/2017,27/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
11/7/2018,27/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
11/7/2019,26/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
11/7/2020,27/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
11/7/2021,27/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
11/7/2022,27/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
11/7/2023,26/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
12/7/2009,28/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
12/7/2010,28/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
12/7/2011,28/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
12/7/2012,28/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
12/7/2013,28/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
12/7/2014,28/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
12/7/2015,27/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
12/7/2016,28/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
12/7/2017,28/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
12/7/2018,28/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
12/7/2019,27/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
12/7/2020,28/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
12/7/2021,28/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
12/7/2022,28/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
12/7/2023,27/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
13/07/2009,29/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
13/07/2010,29/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
13/07/2011,29/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
13/07/2012,29/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
13/07/2013,29/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
13/07/2014,29/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
13/07/2015,28/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
13/07/2016,29/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
13/07/2017,29/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
13/07/2018,29/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
13/07/2019,28/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
13/07/2020,29/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
13/07/2021,29/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
13/07/2022,29/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
13/07/2023,28/03/2080,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
14/07/2009,30/03/2066,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
14/07/2010,30/03/2067,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
14/07/2011,30/03/2068,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
14/07/2012,30/03/2069,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
14/07/2013,30/03/2070,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
14/07/2014,30/03/2071,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
14/07/2015,29/03/2072,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
14/07/2016,30/03/2073,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
14/07/2017,30/03/2074,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
14/07/2018,30/03/2075,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
14/07/2019,29/03/2076,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
14/07/2020,30/03/2077,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
14/07/2021,30/03/2078,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
14/07/2022,30/03/2079,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
